,old_tweet,new_tweet
7355,"USER USER USER Dikarantina di kamar gas beracun, kaya nazi membasmi yahudi dulu itu mas..'",dikarantinadikamargasberacunkayaknazimembasmiyahudiduluitumas
7356,"USER Indosat celeng dancok, bikin bintang gua turun babi bajingan'",indosatcelengjancukbikinbintanggueturunbabibajingan
7357,USER USER Komunis melulu Ditii dong dibahas kan ngebantai juga memberontak juga... Antek terorisnya malah nyata sampe sekarang,komunismeluluditiidongdibahaskanmembantaijugamemberontakjugaantekterorisnyamalahnyatasampaisekarang
7358,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Sarap nih pendukung Prabowo.,sarapnihpendukungprabowo
7359,"""Tidak peduli sesulit apa aku menghadapi sesuatu, aku akan tetap tersenyum seperti orang idiot"" - Chanyeol EXO K'",tidakpedulisesulitapaakumenghadapisesuatuakuakantetaptersenyumsepeiorangidiotchanyeolexok
7360,USER Jangan marah marah dong nete',janganmarahmarahdongnete
7361,USER Kek sipit \xf0\x9f\x98\x81',kayaksipitxf0x9fx98x81
7362,"Barusan ada sodara yang jarang ketemu mampir ke rumah anterin undangan. Basa basi dikit sebentar terus tetiba bilang ""ana kurusan sih. sakit?"" Gw langsung ""he. Emang makannya dikit."" Terus dia bilang ""oh."" \n\nKalo ku sekarang gendut nanti dibilang ""ana",barusanadasaudarayangjarangketemumampirkerumahantarkanundanganbasabasisedikitsebentarterussetibanyabilangsayakurusansihsakitguelangsunghememangmakannyasedikitterusdiabilangohdankalaukusekaranggendutnantidibilangsaya
7363,USER Anda bisa tukar atau kembalikan produk secara GRATIS untuk pengembalian barang kepada konsumen apabila barang tersebut rusak atau cacat produksi dengan layanan garansi selama 7 hari\n#HauzMiniQuiz #HauzID \nUSER USER USER,andabisatukarataukembalikanproduksecaragratisuntukpengembalianbarangkepadakonsumenapabilabarangtersebutrusakataucacatproduksidenganlayanangaransiselama7haridanhaus mini quizhaziddan
7364,USER otw di bom korut u',on the waydibomkorea utarakamu
7365,USER ga sarap des tpi dah gemblung nih',tidaksarapdesembertetapisudahgemblungnih
7366,Buku Langka&gt; Tarich Agama Islam. ; Oleh; H. O. S. Tjokroaminoto. ; Tahun 1950. 183 Halaman. ; Hardcover. Harga 450.000. Minat?,bukulangkabegitutarichagamaislamolehhositjokroaminototahun1950183halamanhard coverharga450000minat
7367,Sesama smstan tapi malu2in hhhh bangke kesel w',sesamaberkirim smstapimemalukanhhhhbangkaikesalgue
7368,USER Tae. Isinya banci semwa yak?',taiisinyabancisemuaya
7369,"(Bimbingan Ulama Kibar Ahlussunnah); ; KOKOH DAN BERSABAR DI ATAS AL-HAQ; ; Asy-Syaikh Shalih al-Fauzan hafizhahullah berkata,; ; â??Maka orang yang bersabar di atas jalan Allah, di atas agama yang haq, dan di atas sunnah...",bimbinganulamakibarahlusunahkokohdanbersabardiatasalhakasysyaikhsalehalfauzanhafizhahullahberkatamakaorangyangbersabardiatasjalanallahdiatasagamayanghakdandiatassunnah
7370,"Pasti ada hubungannya sama partai komunis dari Cina ini, rezim antek antek aseng!",pastiadahubungannyasamapakaikomunisdaricinainirezimantekantekasing
7371,Kapir bodoh memang bengap dah terangkanpon x paham jugak memang ptut la la ko jd kapir',kafirbodohmemangbengapsudahterangkan ponxpahamjugamemangpatutlahlahkokjadikafir
7372,Anies Disebut â??Super Gubernurâ?? Saat Kunjungan di Maroko; ; GoodBener memang ð???ð???; ;,aniesdisebutsupergubernursaatkunjungandimarokogood benarmemang
7373,SaveKPK USER tolak rekomendasi &amp; bubarkan Pansus Angket KPK! - Tandatangani petisi! URL via USER,save komisi pemberantasan korupsitolakrekomendasiampbubarkanpanitia khususangketkomisi pemberantasan korupsitanda tanganipetisiuniform resource locatorvia
7374,RT USER: Rabbi Israel Sebut Orang Berkulit Hitam Sebagai \xe2\x80\x9cMonyet\xe2\x80\x9d Picu Kecaman Keras URL,rabiisraelsebutorangberkulithitamsebagaixe2x80x9cmonyetxe2x80x9dpicukecamankerasuniform resource locator
7375,Sahkan #RUUMasyarakatAdat,sahkanrancangan undang undang masyarakat adat
7376,"Eh adaaa Cek Toko Sebelah \xf0\x9f\x98\x81 sorry. Yaa cuma satu. Aku inget, nonton film klasik Indo tokohnya Kristen lebih banyak.\n\n#SpiritofDiversity'",ehadaaacektokosebelahxf0x9fx98x81maafyacumasatuakuingatmenontonfilmklasikindonesiatokohnyakristenlebihbanyakdandanspirit for diversity
7377,USER Apa lagi memek yg ga ada bulunya lebih mantap di jilatnya',apalagimemekyangtidakadabulunyalebihmantapdijilatnya
7378,Knpsih ni dosen tiap adzan gapernah break dulu gitu?! Nyerocos mulu kunyuk',kenapa sihnihdosentiapazantidak pernahbreakdulubegitumencerocosmulukunyuk
7379,"Albert Einstein baru bisa bicara pada umur 3 tahun, karena dia mengalami cacat otak sehingga daya pikirnya sangat lambat'",albeeinsteinbarubisabicarapadaumur3tahunkarenadiamengalamicacatotaksehinggadayapikirnyasangatlambat
7380,"USER USER USER USER Noh arab saudi menjajah yaman, pdahal satu rumpun, noh Bgsa Israil menjajah palestina padahal orang yahudi jg bnyk keturunan arab... Dan jg tentara israel jg bnyk yg muslim dan Islam jadi agama kedua terbnya",ituarabsaudimenjajahyamanpadahalsaturumpunitubangsaizrailmenjajahpalestinapadahalorangyahudijugabanyakketurunanarabdanjugatentaraisraeljugabanyakyangmuslimdanislamjadiagamakeduaterbanyak
7381,USER Belum anjir',belumanjir
7382,"\xf0\x9f\x91\xa9: *memandangi freezer yang kosong*\n\xf0\x9f\x91\xa7: *sambil lewat*\nPapa kamu along with your gantengs ate all the ice-cream last night.\n\xf0\x9f\x91\xa9: Oh dear Lord \xf0\x9f\x99\x88\xf0\x9f\x99\x88\n*mbatin* .. ampun pak Steven entah kenapa sekarang bahasa ne anak-anak tambah kacrut pun\n\n(! ^ , ^ )'",xf0x9fx91xa9memandangifreezeryangkosongdanxf0x9fx91xa7sambillewatpapakamualongdenganyourgantengatealltheicecreamlastnightdanxf0x9fx91xa9ohdearlordxf0x9fx99x88xf0x9fx99x88danmembatinampunpakstevenentahkenapasekarangbahasainianakanaktambahkacrutpundandan
7383,USER Tangkap si gerung penista Kitab Suci semua agama,tangkapsihgerungpenistakitabsucisemuaagama
7384,Bualan ke berapa nih pak jokowi? Ngomong mulu URL,bualankeberapanihpakjokowiberbicaramuluuniform resource locator
7385,"USER USER Mending presidenku ada kerjanya,walaupun d nyinyir ma kaummu cuma gunting pita,Skarang KL Junjunanmu jadi presiden yakin bisa bangun infrastruktur???yakin GK ngutang LG???KL ngutang yakin buat rakyat???mending pak Jokowi sudah ter",mendingpresidenkuadakerjanyawalaupundinyinyirsamakaummucumaguntingpitasekarangkalaujujunganmujadipresidenyakinbisabanguninfrastrukturyakintidakberutanglagikalauberutangyakinbuatrakyatmendingpakjokowisudahter
7386,USER Najis om lu sama om ingguk sama aja ternyata',najisomkamusamaominggusamasajaternyata
7387,"USER Udah sipit tuhh, mana tangannya kebalik lago tadi wkwkw'",sudahsipititumanatangannyakebaliklagotadiwkwk
7388,"Si cewe itu bilang ""gua baru mau keluar dari badan ini kalo rumah gua udah di bersihin !!"" guru agama gua langsung nyuruh anak-anak ambil air, airnya dibaca-bacain dulu, lalu disiramin ke pohon nangka.; ; cewe itu langsung ga sadarin diri, dibawalah dia ke",sihcewekitubilangguebarumaukeluardaribadaninikalaurumahguesudahdibersihkanguruagamaguelangsungmenyuruhanakanakambilairairnyadibacabacakandululaludisiramikepohonnangkacewekitulangsungtidaksadarkandiridibawalahdiake
7389,"USER USER USER USER Cebong kalau ketahuan tololnya gini, lari dr kenyataan.\xf0\x9f\xa4\xa3'",cebongkalauketahuantololnyabeginilaridarikenyataanxf0x9fxa4xa3
7390,"USER USER USER USER USER USER USER eh dongo, klo namannya di tackle terus injured, ga usah ma yg debutan 20 taun, ama yg 17 taun klo maen nya kasar jg cidera.. wkaakakak. heran anda punya otak kan?",ehdongokkalaunamanyaditackleterusinjuredtidakusahsamayangdebutan20tahunsamayang17tahunkalaumainnyakasarjugaciderawkwkheranandapunyaotakkan
7391,"RT USER: USER Preman kampungan monyong putih kok dikasih panggung merusak acara, enek liatnya'",premankampunganmonyongputihkokdikasihpanggungmerusakacaraeneklihatnya
7392,Dih maho anjir geli gue',ihmanusia homoanjirgeligue
7393,"Agak sedih sih vavang tampan mata sipit resign, cuman rada seneng juga jadi enggak ada yg vau vau tak menyenangkan hinggap di hidung ini'",agaksedihsihvavangtampanmatasipitresigncumaagaksenangjugajaditidakadayangbaubautakmenyenangkanhinggapdihidungini
7394,"Namun dengan kondisi ekonomi nasional yang terbatas setelah penggantian kekuasaan, pemerintah segera mengambil langkah strategis dengan mengeluarkan Undang-undang Modal Asing (UU No. 1 Tahun 1967). #Freeport51'",namundengankondisiekonominasionalyangterbatassetelahpenggantiankekuasaanpemerintahsegeramengambillangkahstrategisdenganmengeluarkanundangundangmodalasingundang undangno1tahun1967freepo51
7395,USER rezim paling buruk semnjak indonesia merdeka',rezimpalingburuksemenjakindonesiamerdeka
7396,"USER USER Udah tau bego gak belajar, jadi mau ngatain goblog. GOBLOG LU!'",sudahtaubegotidakbelajarjadimaumemakigoblokgoblokkamu
7397,RT USER: grepe coli temen smp pas tidur eh malah crot #kontolsmp #kontolsma #titit #grepe #tititsmp #tititsma #chiforchi #sange\xe2\x80\xa6',gereoecolitemansampaipastidurehmalahcrotkontol smpkontol smatititgereoetitit smptitit smachiforchisangexe2x80xa6
7398,"Terlalu banyak kebaikan yg saya peroleh darinya. Hampir separuh usia saya hari ini, sy jalani bersama teman2 PKS. Sebelum ia dirampas rezim baru ini...'",terlalubanyakkebaikanyangsayaperolehdarinyahampirseparuhusiasayahariinisayajalanibersamateman temanpartai keadilan sejahterasebelumiadirampasrezimbaruini
7399,"#904News | Scarlett Johansson akhirnya mengundurkan diri dari film Rub and Tug. Dalam perannya sebagai gembong penjahat Dante Tex Gill, ScarJo dihujat dan dikritik karena memerankan tokoh transgender dan dianggap hanya ingin mendapatkan penghargaan dari",904newsscarlettjohanssonakhirnyamengundurkandiridarifilmrubandtugdalamperannyasebagaigembongpenjahatdanteteksgillscarlett johanssondihujatdandikritikkarenamemerankantokohtransgenderdandianggaphanyainginmendapatkanpenghargaandari
7400,"Dalam kehidupan Ibnu Ummi Maktum dikenal sbg orang yang amat mencintai Allah serta Rasul-Nya. Dalam suatu riwayat, ia pernah tinggal di rumah seorang wanita Yahudi yg baik hati namun sayang, mulutnya tak pernah henti untuk menghina orang yg dicintai oleh",dalamkehidupanibnuibumaktumdikenalsebagaiorangyangamatmencintaiallahsearasulnyadalamsuaturiwayatiapernahtinggaldirumahseorangwanitayahudiyangbaikhatinamunsayangmulutnyatakpernahhentiuntukmenghinaorangyangdicintaioleh
7401,"Presiden Boros dan Foya-Foya, Rakyat Menderita. ; ; Jokowi Presiden Pilihan Taipan ; ; Cc. USER USER ; ; #2019GantiPresiden",presidenborosdanfoyafoyarakyatmenderitajokowipresidenpilihantaipancc2019 ganti presiden
7402,"USER Timbal baliknya TKA min, cepet2 dipulangin plis'",timbalbaliknyatenaga kerja asingmincepat cepatdipulangkantolong
7403,"[98:1] Orang-orang kafir yakni ahli Kitab dan orang-orang musyrik (mengatakan bahwa mereka) tidak akan meninggalkan (agamanya) sebelum datang kepada mereka bukti yang nyata,'",981orangorangkafiryakniahlikitabdanorangorangmusyrikmengatakanbahwamerekatidakakanmeninggalkanagamanyasebelumdatangkepadamerekabuktiyangnyata
7404,USER Belomm ð??­ð??­ susah banget ini cari jumlah peminat budaya indo di korsel. Giliran nemu tapi sumbernya ga akurat. Kamu gimana?,belumsusahbangetinicarijumlahpeminatbudayaindonesiadikorselgiliranmenemukantapisumbernyatidakakuratkamubagaimana
7405,"Namun dengan kondisi ekonomi nasional yang terbatas setelah penggantian kekuasaan, pemerintah segera mengambil langkah strategis dengan mengeluarkan Undang-undang Modal Asing (UU No. 1 Tahun 1967).\n#Freeport51'",namundengankondisiekonominasionalyangterbatassetelahpenggantiankekuasaanpemerintahsegeramengambillangkahstrategisdenganmengeluarkanundangundangmodalasingundang undangno1tahun1967danfreepo51
7406,"Buya Eson, mungkin substansi masalah kita bkn hanya soal bisa atau tidak bisa membaca Qurâ??an tetapi bagaimana menghayati dan membumikan pesan Qurâ??an bahwa Islam adalah rahmat utk seluruh alam. Kalau itu, tak usah ada tes membaca tapi lihat track record set",buyaesonmungkinsubstansimasalahkitabukanhanyasoalbisaatautidakbisamembacaqurantetapibagaimanamenghayatidanmembumikanpesanquranbahwaislamadalahrahmatuntukseluruhalamkalauitutakusahadatesmembacatapilihattrackrecordset
7407,USER USER Penyakit panik yg di alami kaum begundal kampret bongkrek adalah selama pak prabowo blm jadi presiden. Dan kepanikan itu akan trs berlanjut karna sprtinya pak jokowi akan dua periode.',penyakitpanikyangdialamikaumbegundalkampretbongkrekadalahselamapakprabowobelumjadipresidendankepanikanituakanterusberlanjutkarenaspinyapakjokowiakanduaperiode
7408,"USER Siapa yang pura pura lupa taplak,saya kan org baru'",siapayangpurapuralupataplaksayakanorangbaru
7409,"Masih jadi TKA aja udah menghina ntar jadi bos mau lah Indonesia ini di jajah,, USER lemah x pemerintahan mu pak...; ; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden",masihjaditenaga kerja asingsajasudahmenghinanantijadibosmaulahindonesiainidijajahlemahxpemerintahanmupak2019 ganti presiden2019 ganti presiden2019 ganti presiden
7410,"USER Beliau hebat,,di rezim beliau lah Kroasia lolos ke final piala dunia mengalahkan inggris dg skor rp 14500 : 1 $...kerja kerja kerja...'",beliauhebatdirezimbeliaulahkroasialoloskefinalpialaduniamengalahkaninggrisdenganskorrupiah145001kerjakerjakerja
7411,RT USER USER Semakin bayk KPK menangkap Koruptor semakin menjukkan kpk gagal. BUBARKAN serahkan kepolisian dan kejaksaan,semakinbaikkomisi pemberantasan korupsimenangkapkoruptorsemakinmenunjukkankomisi pemberantasan korupsigagalbubarkanserahkankepolisiandankejaksaan
7412,"10 April 1877 Raden Mas Panji Sosrokartono, kakak RA Kartini, lahir di Pelemkerep, Mayong, Jepara, Jawa Tengah. Dia pernah jadi wartawan perang dan penerjemah dalam momen-momen penting sejarah dunia. Menutup hidupnya dengan ilmu kebatinan.",10april1877radenmaspanjisosrokaonokakakrakakakinilahirdipelemkerepmahyongjeparajawatengahdiapernahjadiwaawanperangdanpenerjemahdalammomenmomenpentingsejarahduniamenutuphidupnyadenganilmukebatinan
7413,"USER USER USER Dengan kekuatan ekonomi kita sekarang, kalau kita punya daerah reklamasi, distrik bisnis dan pelabuhan bersebelahan lonjakan ekonomi kita akan fenomenal, pertumbuhan 7%+ bahkan lebih dan IHSG 10.000+ bukan tidak mungkin",dengankekuatanekonomikitasekarangkalaukitapunyadaerahreklamasidistrikbisnisdanpelabuhanbersebelahanlonjakanekonomikitaakanfenomenalpeumbuhan7bahkanlebihdanindeks harga saham gabungan10000bukantidakmungkin
7414,USER Ahahahaha alah bodo. Takot iv ekgy ye suh mu nyanyi kagu klok je odo',hahaalahbodohtakutivekgyiyasuhmunyanyikagukalojeodo
7415,Si Penghina Al - Qur'an Harus diPenjara penjarakan ahok penjarakan ahok,sihpenghinaalquranharusdi penjarapenjarakanahokpenjarakanahok
7416,"USER USER Dan kamu pasti penganut islam garis keras kan, ngomongmu kelihatan mendem kencing onta.'",dankamupastipenganutislamgariskeraskanomongmukelihatanmendemkencingonta
7417,"Yang beragama Islam jangan lupa 4 rokaat nya~ :) Jangan malas""an ya~",yangberagamaislamjanganlupa4rakaatnyajanganmalasanya
7418,USER Mumpung gua lagi kagak puasa.\n\nGAJELAS LU NGENTOD',mumpungguelagitidakpuasadantidak jelaskamungentot
7419,PDIP Gencar trus serang KPK bubarkan PDIP! Dukung Jokowi USER. JokowiAgain JokowiAgain,partai demokrasi indonesia perjuangangencarterusserangkomisi pemberantasan korupsibubarkanpartai demokrasi indonesia perjuangandukungjokowijokowi lagijokowi lagi
7420,"USER Artinya Bank Dunia percaya kpd Indonesia, semakin besar utang Indonesia akan semakin bagus kalau digunakan untuk pembangunan, agar kalau Indonesia kelak berganti rezim, rezim tersebut akan berpikir ulang untuk korupsi krn Indonesia hrs bayar",ainyabankduniapercayakepadaindonesiasemakinbesarutangindonesiaakansemakinbaguskalaudigunakanuntukpembangunanagarkalauindonesiakelakbergantirezimrezimtersebutakanberpikirulanguntukkorupsikarenaindonesiaharusbayar
7421,"USER USER USER USER Ganti nama aja, biar cocok dng yg sering keluar dr mulut sampaen tuh onta, kencing juga blh'",gantinamasajabiarcocokdenganyangseringkeluardarimulutsampanituontakencingjugaboleh
7422,#AsyikM3nang asyik dekat dengan ulama,asyik menangasyikdekatdenganulama
7423,"USER ini mantul... mantap betul,, siapa bilng pemerintah anti islam?? nihh ini neehh buktinya, justru semakin dekat dengan para ulama dan santri",inimantap betulmantapbetulsiapabilangpemerintahantiislamnihininihbuktinyajustrusemakindekatdenganparaulamadansantri
7424,"Hanya di era USER saja, ketika komunis dibiarkan berkembang USER",hanyadierasajaketikakomunisdibiarkanberkembang
7425,"USER Kukira cuma Prabowo paling lucu ngelawak lwat novel fiksi ""ghost fleet""..\nKamu lbih lucu,Zul...tpi jg palimg bego.\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",aku kiracumaprabowopalinglucumelawaklewatnovelfiksighostfleetkamulebihlucuzultetapijugapalingbegoxf0x9fx98x82xf0x9fx98x82
7426,"USER USER Sekolah disana hrs jd antek uncle Sam bro , kurikulum wajib. Trump slh 1 pemegang saham freeport Mcmoran inc.'",sekolahdi sanaharusjadiantekpamansamabrokurikulumwajibtrumpsalah1pemegangsahamfreepomcmoranincorporate
7427,USER Gara gara presiden skrang ini planga plongo ya kyai :),garagarapresidensekaranginiplongaplongoyakiai
7428,USER Iya win kayak ada kerajaan dan kayak ada komunis gt gasih? Wkwk',iyamenangkayakadakerajaandankayakadakomunisbegituenggak sihwkwk
7429,"Identifikasi LGBT\n\nLGBT merupakan singkatan dari Lesbi , Gay , Bisexual Dan Transgender . LGBT , merupakan sebuah bentuk kelainan atau problem psikolog dan sosial. dapat kita lihat bahwasannya LGBT merupakan suatu gejala yang disengaja atau di buat2 .'",identifikasilgbtdanlgbtmerupakansingkatandarilesbigaybisexualdantransgenderlgbtmerupakansebuahbentukkelainanatauproblempsikologdansosialdapatkitalihatbahwasanyalgbtmerupakansuatugejalayangdisengajaataudibuat buat
7430,"USER USER Emosi gua sama loey hyung anjir gua dah mikir keras maksud eventnya apa sampe tepelongo bego malah diakhir dia cuma bilang 'ini semua cuma mimpi' anjir emosi pangeran \xf0\x9f\x98\xa9""",emosiguesamaloeyhyunganjirguesudahpikirkerasmaksudacaranyaapasampaiterperanjatbegomalahdiakhirdiacumabilanginisemuacumamimpianjiremosipangeranxf0x9fx98xa9
7431,"SoignÃ¨ adalah restoran yang memegang konsep 'diversity',; ; â?? yaitu dengan menggabungkan budaya Korea dengan makanan-makanan internasional lainnya seperti Paris, Italia, dan Amerika.; ; *picture below",soignadalahrestoranyangmemegangkonsepdiversityyaitudenganmenggabungkanbudayakoreadenganmakananmakananinternasionallainnyasepeiparisitaliadanamerikapicturebelow
7432,Monyet Langka dan 2 Ekor Kukang Diselamatkan saat Sedang Diperjualbelikan via Online URL \nUSER \nUSER',monyetlangkadan2ekorkukangdiselamatkansaatsedangdiperjualbelikanviaonlineuniform resource locatordandan
7433,"Sebagai contoh sederhana, ada Huria Kristen Batak Protestan (HKBP) yg menambahkan kata ""Batak."" Saya percaya umat Kristiani melihat saudara2 mereka seiman tsb tetap 100% Kristen Protestan, meski HKBP mengakomodir bahasa &amp;budaya Batak. Demikian juga d",sebagaicontohsederhanaadahuriakristenbatakprotestanhuria kristen batak protestanyangmenambahkankatabataksayapercayaumatkristianimelihatsaudara saudaramerekaseimantersebuttetap100kristenprotestanmeskihuria kristen batak protestanmengakomodirbahasaampbudayabatakdemikianjugadi
7434,GANYANG PKI MUSNAHKAN,ganyangpartai komunis indonesiamusnahkan
7435,"USER USER Islam Nusantara, ntar muncul kristen Nusantara, hindu nusantara, budha nusantara, ... Nusantara, sekarepmu la'",islamnusantaranantimunculkristennusantarahindunusantarabuddhanusantaranusantarasemaumulah
7436,"Nyesel nya lebih"" \nkayak makan tai\'\nKlu tw gini mending gk usa'",menyesalnyalebihkayakmakantaikalautaubeginimendingtidakunited state of america
7437,USER YA ALLAH UNTUNGNYA LAGI NGGAK DI KOSAN KAK. semoga isi nya bukan bom beneran ya hUHU AKU IKUTAN NGERI! \xf0\x9f\x98\xad\xf0\x9f\x98\xad',yaallahuntungnyalagienggakdiindekoskaksemogaisinyabukanbombenaranyahuhuakuikutanngerixf0x9fx98xadxf0x9fx98xad
7438,"Gubernur DKI JAKARTA Pak Anies Baswedan, Mendapat Kehormatan bertemu dan Sholat Jum'at Bersama Presiden Erdogan .",gubernurdaerah khusus ibukotajakaapakaniesbaswedanmendapatkehormatanbeemudansalatjumatbersamapresidenerdogan
7439,MataNajwaDebatJakarta kalau untuk urusan bacot memang anis nya juaranya..memang kita bakal makan bacot di jakarta..haha..paslon yg aneh gede bacot doang.,matanajwadebatjakaakalauuntukurusanbacotmemanganisnyajuaranyamemangkitabakalmakanbacotdijakaahahapasangan calonyanganehgedebacotdoang
7440,"Itu adalah ungkapan sayang, seperti kata #sinting punya USER URL",ituadalahungkapansayangsepeikatasintingpunyauniform resource locator
7441,"Belajar Agama or Islam? Jika belajar Islam, percaya Adam Nabi jadi dungu, nyembah Allah SWT benci kafir jadi biadab?",belajaragamaorangislamjikabelajarislampercayaadamnabijadidungumenyembahallahsubhanahu wa taalabencikafirjadibiadab
7442,lagu Ari lasso silit memang',laguarilassosilitmemang
7443,"agar terpilih menjadi presiden , capres itu harus berjanji akan me'foll back seluruh rakyat indonesia , dijamin dipilih !!""",agarterpilihmenjadipresidencalon presidenituharusberjanjiakanmefollbackseluruhrakyatindonesiadijamindipilih
7444,USER USER Mudah2an ada anak atau keluarga dekatmu yg jadi pecun dan pecandu narkoba supaya anda sadar dan paham mengapa tenpat2 spt Alexis harus di tutup.',mudah mudahanadaanakataukeluargadekatmuyangjadipecundanpecandunarkobasupayaandasadardanpahammengapatempat tempatsurat pemberitahuan tahunanalexisharusditutup
7445,USER Emang saya setan? Kok bikin penasaran? Hahaha',memangsayasetankokbikinpenasaranhaha
7446,"gue sekelompok bertujuh, gue sendiri dari fakultas ekonomi, dan gue sendiri yg non-muslim. gue akan pergi mengabdi di kab sukabumi, kaki gunung pangrango dan gue udah cek, gereja katolik terdekat 45 menit dari desa gue'",guesekelompokbeujuhguesendiridarifakultasekonomidanguesendiriyangnonmuslimgueakanpergimengabdidikabupatensukabumikakigunungpangrangodanguesudahcekgerejakatolikterdekat45menitdaridesague
7447,Bila mok antek tok. Bila mok kurus tok.',bilamokantektokbilamokkurustok
7448,Barel ada dugaan bom?? banyak tim gegana\xf0\x9f\x98\xb2',bareladadugaanbombanyaktimgeganaxf0x9fx98xb2
7449,RT USER: #SANGE_AAAAAAAAAAH #memek gatel say pngen disruduk kontol ! Retweet sayang yg pngen #ngentot \xf0\x9f\x98\x98 kuy... URL,sangeaaaaaaaaaahmemekgatalsayangingindiserudukkontolretweetsayangyanginginngentotxf0x9fx98x98ayouniform resource locator
7450,"USER Namanya jg kecebong anaknya kodok, skrg bapak nya jg presiden hadekh... ; Presiden planga plongo",namanyajugakecebonganaknyakodoksekarangbapaknyajugapresidenaduhpresidenplongaplongo
7451,TERNYATA JOKOWI KOMUNIS !!!! LENGSERKAN !!!! URL,ternyatajokowikomunislengserkanuniform resource locator
7452,Yang melaporkan RG menistakan agama bukan orang-orang yang sejak awal menunjuk diri sebagai garda utama pembela agama. Munafik beradu akrobat dengan munafik lainnya.,yangmelaporkanrgmenistakanagamabukanorangorangyangsejakawalmenunjukdirisebagaigardautamapembelaagamamunafikberaduakrobatdenganmunafiklainnya
7453,RT USER: USER USER Ruhut tambah gila Tun \xf0\x9f\x98\x81\xf0\x9f\x98\x81',ruhuttambahgilatunxf0x9fx98x81xf0x9fx98x81
7454,USER USER USER USER Hahahahahha....ga beda sama sanjungan mereka si babi jijik.....ehhh...bibib rijik...wkwkwkwk',hahatidakbedasamasanjunganmerekasihbabijijikehhabibrizieqwkwk
7455,USER cocot comberan tai',cocotcomberantai
7456,"NGAKAK! Rupiah Melemah, Warganet: Gak Ada Berita Begini di Metro TV",tertawarupiahmelemahwarganettidakadaberitabeginidimetrotelevisi
7457,Mnet tuh emg bangsad',music networkitumemangbangsat
7458,"JOKOWI PILIHAN PASTI 2019; ; Capres itu tidak musti 'BONGKAR PASANG', isi lobang congklak, karena Presiden tidak boleh 'COBA-COBA'; ; Supaya pikiran LURUS &amp; NEGERI TERURUS..; Pilihan pada USER; ; #2019TetapJokowi; #2019T3tapJokowi; #JokowiSemakinKu",jokowipilihanpasti2019calon presidenitutidakharusbongkarpasangisilobangcongklakkarenapresidentidakbolehcobacobasupayapikiranlurusampnegeriteruruspilihanpada2019 tetap jokowi2019 tetap jokowijokowi semakin kuat
7459,"USER \xf0\x9f\xa6\x89: mas, sehat?\n\xf0\x9f\xa6\x8d: &amp;\xe2\x82\xac\xc3\xb7$\xc3\x97+, emang e aku edan?!!'",xf0x9fxa6x89massehatdanxf0x9fxa6x8dampxe2x82xacxc3xb7xc3x97memangeakuedan
7460,"USER Emang jablay kan, ga modal, ga mau usaha'",memangjablaykantidakmodaltidakmauusaha
7461,Kaum 1/2 kapir semakin radikal menyerang pusat pertahanan umat Islam. Kaum 1/2 kapir percaya dg otak junk food nya yg kapasitasnya zero\nWaspada adu domba kaum 1/2 kapir',kaum12kafirsemakinradikalmenyerangpusatpeahananumatislamkaum12kafirpercayadenganotakjunkfoodnyayangkapasitasnyazerowaspadaadudombakaum12kafir
7462,"RT USER: Gue lebih milih langsung nyebut siapa gue, dari mana gue, dan apa keperluan gue ketika whatsapp orang untuk pertama kalinya\xe2\x80\xa6'",guelebihmemilihlangsungmenyebutsiapaguedarimanaguedanapakeperluangueketikawhatsapporanguntukpesamakalinyaxe2x80xa6
7463,"Jika Ikuti Si Garong; Maka; ""Ajaran Agama Berdasar Fiksi""",jikaikutisihgarongmakaajaranagamaberdasarfiksi
7464,"USER USER USER USER USER USER USER USER USER, siapapun U apalagi yg mentil2 ntu sm2 goblok tolol bin bahlul,, onta kampret\xf0\x9f\x98\x80'",siapapunkamuapalagiyangmentil mentilitusama samagobloktololbinbahlulontakampretxf0x9fx98x80
7465,USER picek mata lu',picekmatakamu
7466,USER Memang salah satu turunan nya juga cebong kampret definisinya komplotan penyebar hoax yg koar koar sambil mencret',memangsalahsatuturunannyajugacebongkampretdefinisinyakomplotanpenyebarhoaksyangkoarkoarsambilmencret
7467,"Terharu aku baca tweet dari #CarpoolGE14 dan #PulangMengundi , tak kira jantina, bangsa dan agama bersatu untuk selamatkan Malaysia. Semoga perjalanan pergi dan balik kalian selamat. God bless.",terharuakubacatwitdaricarpoolge14danpulang mengunditakkirajantinabangsadanagamabersatuuntukselamatkanmalaysiasemogaperjalananpergidanbalikkalianselamatgodbless
7468,"USER Bertahun2 di katain cebong,jokodok,pki,kafir,dongo, santai aja tuh...knp musti panik ya si doi di panggil kampret? \xf0\x9f\x98\x82\xf0\x9f\x98\x82'",beahun2diejekcebongjokowi kodokpartai komunis indonesiakafirdongoksantaisajaitukenapaharuspanikyasihdiadipanggilkampretxf0x9fx98x82xf0x9fx98x82
